sample_index,client_id,class_id
0,3,0
1,1,5
2,1,5
3,1,5
4,2,4
5,2,5
6,2,4
7,1,5
8,2,5
9,0,5
10,1,2
11,0,5
12,4,1
13,0,5
14,1,4
15,1,5
16,2,2
17,0,5
18,0,5
19,1,5
20,0,5
21,1,5
22,1,5
23,6,6
24,2,2
25,0,5
26,0,5
27,1,5
28,0,5
29,0,5
30,2,2
31,0,4
32,0,5
33,4,1
34,1,5
35,2,4
36,0,5
37,2,4
38,0,5
39,2,4
40,1,5
41,4,5
42,0,5
43,2,2
44,1,2
45,1,5
46,1,5
47,2,2
48,1,5
49,6,6
50,0,4
51,0,5
52,0,5
53,0,5
54,0,5
55,2,2
56,1,5
57,0,4
58,0,5
59,0,5
60,2,4
61,0,5
62,0,5
63,4,1
64,3,0
65,1,5
66,3,0
67,5,3
68,3,0
69,3,5
70,0,5
71,6,2
72,3,0
73,2,5
74,0,5
75,1,5
76,1,5
77,0,5
78,0,5
79,6,5
80,1,5
81,0,5
82,0,5
83,2,5
84,0,5
85,4,5
86,2,4
87,2,2
88,0,5
89,1,2
90,2,4
91,3,0
92,1,5
93,4,1
94,4,5
95,2,4
96,1,5
97,5,5
98,6,6
99,1,5
100,2,2
101,0,5
102,0,5
103,2,5
104,4,1
105,0,5
106,1,5
107,1,5
108,2,4
109,1,5
110,2,2
111,2,2
112,1,5
113,0,5
114,2,4
115,1,5
116,1,2
117,0,5
118,0,5
119,0,5
120,1,5
121,2,2
122,0,5
123,1,5
124,2,4
125,2,4
126,1,5
127,1,5
128,0,5
129,1,5
130,5,3
131,0,5
132,2,4
133,3,5
134,1,2
135,0,5
136,0,5
137,0,5
138,2,2
139,2,5
140,1,5
141,1,5
142,6,6
143,0,5
144,3,0
145,1,5
146,1,5
147,2,4
148,1,5
149,3,5
150,0,5
151,0,5
152,1,5
153,2,2
154,0,5
155,0,5
156,0,5
157,1,5
158,0,5
159,1,2
160,2,5
161,2,4
162,4,1
163,1,5
164,0,2
165,4,1
166,2,4
167,0,5
168,0,5
169,1,5
170,3,0
171,0,5
172,4,5
173,6,4
174,0,5
175,2,4
176,0,2
177,1,5
178,0,5
179,2,5
180,3,0
181,1,5
182,2,4
183,0,5
184,1,5
185,2,4
186,2,2
187,0,5
188,0,5
189,2,4
190,1,2
191,4,1
192,2,5
193,2,5
194,0,5
195,0,5
196,4,1
197,1,5
198,0,5
199,3,0
200,1,5
201,1,5
202,0,5
203,1,5
204,0,5
205,0,5
206,1,5
207,4,1
208,1,5
209,4,1
210,4,1
211,1,5
212,0,5
213,0,5
214,0,5
215,1,5
216,2,2
217,1,5
218,1,5
219,6,6
220,1,5
221,4,1
222,4,1
223,6,5
224,1,2
225,1,5
226,0,5
227,1,5
228,0,5
229,0,5
230,1,5
231,2,4
232,1,5
233,2,2
234,0,5
235,0,5
236,0,5
237,0,5
238,1,5
239,1,5
240,2,4
241,2,5
242,0,5
243,1,5
244,0,5
245,2,2
246,4,1
247,3,5
248,2,2
249,4,1
250,0,5
251,0,5
252,0,5
253,0,5
254,1,5
255,3,0
256,1,4
257,1,5
258,0,5
259,0,5
260,3,5
261,0,4
262,0,5
263,1,5
264,1,5
265,2,4
266,0,5
267,1,5
268,2,4
269,2,4
270,5,3
271,2,2
272,0,5
273,1,5
274,1,5
275,4,1
276,1,5
277,0,2
278,0,5
279,4,1
280,1,5
281,6,5
282,0,5
283,1,5
284,1,5
285,6,5
286,1,5
287,0,5
288,2,4
289,0,5
290,1,5
291,0,5
292,0,5
293,2,4
294,2,4
295,0,5
296,2,4
297,0,5
298,2,4
299,2,4
300,1,5
301,1,5
302,3,0
303,0,5
304,1,5
305,0,5
306,0,5
307,6,6
308,3,5
309,2,2
310,3,0
311,0,5
312,0,5
313,2,5
314,1,5
315,3,0
316,6,6
317,1,5
318,4,5
319,4,1
320,3,0
321,1,5
322,6,6
323,1,5
324,0,5
325,2,5
326,0,5
327,0,5
328,0,5
329,3,5
330,5,3
331,2,4
332,0,5
333,3,0
334,5,3
335,2,4
336,3,0
337,1,5
338,2,2
339,1,5
